uti,reported_notional,reported_counterparty
UTI00140288686TSAWKHCR0YOJK4FNO,8267398.17,Client_31
UTI00131528Z4LEPCLIDA8Z1CMO5C3T,1484926.83,Client_496
UTI00146750GDLD8RLK5IIMI2N33KJM,1819362.41,Client_143
UTI00118164TU29SV0SROE2IYD0F729,8375948.77,Client_44
UTI000931740XY2767NWXQKZ81897KH,4033662.55,Client_34
UTI00144191GWAFDFJ77CFDB9EQBZBH,4558847.71,Client_467
UTI000840521E9KU21PKFOHMMQ4W50K,4055393.78,Client_447
UTI00057709I52V6KDR6BTZQGVXWKDE,1932869.05,Client_280
UTI0003152659WCZ9Y0NVDT318YXNKI,1000000.0,Client_23
UTI00136745GNGUN6B8GYZJH1H2HJ1D,3547684.74,Client_259
UTI00127899S7X3FT9SJCLYQ6NQJ6BS,4943401.35,Client_285
UTI0010075070H665PT7XDEAV2OOAXQ,4583287.96,Client_458
UTI00100476EUHEYEBOGKWD1DZAYXP6,4435003.51,Client_82
UTI00001429JU68OSMJJX23LFLOH5RI,7451299.58,Client_127
UTI00042290ZO9FH5R7YW5N5YZ2OQWR,1508679.45,Client_77
UTI000877959JA1M90UOQ1BS7Q6Y9XJ,6599307.18,Client_291
UTI0005949365DKGLTFBZGYKQUKEMEK,5189587.46,Client_90
UTI00145702G6DPZ4ERF0T2I0RDF2KL,9046065.41,Client_276
UTI00003539XA5L288BJSWQB0WE26QA,207012.98,Client_68
UTI000815236F01EKOVHECWOBJPK3O1,5450474.8,Client_124
UTI00118778D8ZDFPMF4OS1PNAJ3N57,1577748.64,Client_154
UTI00012710D1M5Z3YPO7I4K0ZS64W6,3824296.7,Client_490
UTI00100679CBOUOPGT7FCFCEMG8P4H,1020918.12,Client_173
UTI00054318HK3AOAK76SDF2Q62UR51,548604.21,Client_189
UTI00038689BOJW2TG60UYSXG8B2RIQ,4870825.87,Client_131
UTI00027363SXX0JM9G0R8TZKPQJ226,3907597.15,Client_121
UTI00073548CFV8KRQHKJ4QJFWFIJUW,4085769.37,Client_163
UTI00075346UPWHXKVOVZGRHIARBSKT,6424036.92,Client_462
UTI001348265YZD7Q0ATOP337UK8R47,7216710.82,Client_417
UTI00021027TZFULLVIKQW7HK2UCYN3,4152506.37,Client_490
UTI000554836JWOVHGMD3ELET5PP2RL,5446646.49,Client_201
UTI00114459A9MCSOZW52MC7FZC8Y6I,7790667.2,Client_341
UTI00146856V0R2SVVLG17CFPFFCFXI,6060333.39,Client_109
UTI00133964IF1UEWJI370FHKQVN0H4,3474317.23,Client_184
UTI00132769VSAQ29ABXVSNL4AVVWAP,6638001.96,Client_233
UTI00127907QSKXN2TCFQFJTCEY8TWK,3285183.1,Client_460
UTI001265722LXRJJGUO4AOZ1Y4RVA0,6805152.72,Client_94
UTI000046360IZ8ZNMB77JNS4JIHT2R,781891.53,Wrong_Client_16
UTI00147586I8XPDGTFNSOB8ZE20AWD,4137323.73,Client_193
UTI00015814CT9O1SELM5EAI3AJJ2P8,285455.83,Client_271
UTI00067645A9Q7XX0P18THBHEV7OP6,8976354.34,Client_319
UTI00128404W5Q58XF20A8E8NZ6R51S,324842.67,Client_110
UTI001073867PVH5K77SBH760CO9FES,754513.47,Client_487
UTI00066044ZWOCN4TCDY1T7FJIC04S,5020268.06,Client_215
UTI0005773642U66OC3K30NWHUMKIIR,4595415.0,Client_373
UTI00021224Q76YB5K5YYRW6ZFM6PD1,4600873.57,Unknown_Client
UTI00069204V8B5SFAJAWPBR417EKEG,3730123.58,Client_24
UTI000071250DAP8ZQ8K43OPTG4SR4Y,6800249.54,Client_205
UTI00132567FDHFVN69JQ4L9RZCIXB9,5214011.73,Unknown_Client
UTI00122665DKYDJD28WJJXH9LCBCU4,5222397.04,Client_49
UTI001484883C00DA4HDUK5SMZR766K,7023606.11,Client_249
UTI00026865986Z438GNLZV2PXMN47U,4560280.02,Client_186
UTI000015140M18AGI9YTLVHYCUYLW8,6930098.79,Client_285
UTI00032428ZPYUM443SA5EPIZ6AH63,7433549.7,Client_120
UTI00063383V7EEGOFGZIUWHN6KB27N,1000000.0,Client_246
UTI001466746Y83WX4O973NQ1UHHPGJ,1486644.3,Client_170
UTI00046770A7MFTB8DH2Z6Q2HO52JC,2059419.89,Client_31
UTI00033778GPTCAE2TLRMLFIQTY4I1,1109468.47,Client_316
UTI00050342HLUEIRPRVYR0CUHT42O1,1318339.9,Client_391
UTI00106215BGAMBPR2GNFWZ6PZMEAQ,1000000.0,Wrong_Client_407
UTI000104737NUUDYIY0WCBL57IR7F5,3346558.6,Client_480
UTI0014394343MU3S15STHBQ8GE42C5,3582299.05,Client_373
UTI00127827EKFW8JPY4QEB36FBWLBW,1167202.74,Client_130
UTI00095617JX9ESWOVZE9YR13G0WI1,757951.66,Client_409
UTI00083260JCAHQWUWZ3Y72VSISZAU,9815919.71,Client_60
UTI000465676KH9VPX2ZZZQXGW1SFQX,8771517.52,Client_32
UTI00040808TQ7289BWTHZOOB1K4H7T,8427252.15,Client_257
UTI00131675M1SDURMUCDMO1T7KFVUC,8697162.06,Client_168
UTI00091548WIN5OP5TFWMWJGVMDMU7,7300478.22,Client_477
UTI00013591XD927R097KTGWV6OVN6O,8495368.56,Client_27
UTI00078935Z6OHGKLYELF1DH5JJOAV,6102820.86,Client_65
UTI00042497VXBGNPR6TW94UEKOLIAD,825257.99,Client_319
UTI0007464601SR3O3OYE9D9T5D136J,4165640.28,Client_11
UTI0007440717RWZE3Y3G7T5101PCTK,4810457.76,Client_317
UTI00127740L5H84OIT3P0F9TSTIH77,8773837.64,Client_394
UTI00061257YQTYNMU9UZ4YOPSAKO51,58931.98,Client_7
UTI001051653EEU3V9J0FEVDLCOWPNW,9264911.12,Client_300
UTI00123074LRLH9YEYR6A6DAOUADPF,975932.52,Client_160
UTI00132607UDXZ8O1WITXOKAWOSUHM,7546214.33,Client_296
UTI001053858BXPODJTK9CV8G0V8QAE,1721323.23,Client_284
UTI00031268RP7DIAMHE9VLP7L5M7L3,6456330.93,Client_207
UTI00069128MQR85BCVNYL2RD7R7OAC,8147518.3,Client_130
UTI00054728LT98HNA97HM29T1T5OE4,3155240.81,Client_219
UTI001399186SCORAK9QTE7LZPYD4AY,476481.71,Client_66
UTI000074233I1TQHUA0S8TBN4GWSOW,4868502.79,Client_394
UTI00079497PQUXI0IW6G8Q5R8B868M,2636860.19,Client_366
UTI00090888VZ88MWOLRSV6ECKISULZ,4390919.79,Client_483
UTI00145728DNXFSENHJRKFFS0ID7PX,3678871.99,Client_443
