uti,reporting_counterparty,counterparty,trade_date,notional,product_type
UTI00000001AJI0Y6DPBHSAHXTHV3A3,HSBC,Client_275,2024-12-22 20:18:01,1257013.37,EquitySwap
UTI00000002IKCIDKWNNHJ7XVG0FN9X,BankofAmerica,Client_109,2024-09-01 10:01:15,6557832.27,EquitySwap
UTI00000003VN9ER14FFYVNVQJT7YE5,Citigroup,Client_468,2025-01-29 07:52:20,1073044.12,Bond
UTI00000004ALA753LC58DRC11ERTJ5,Citigroup,Client_127,2024-04-03 23:40:54,2254726.4,FXForward
UTI000000054CIYHE7UR23GDPPQ0Y9D,Citigroup,Client_414,2024-12-10 04:33:20,8614877.56,CommoditySwap
UTI00000006HOCN9J2QP89UZFK8UT0C,GoldmanSachs,Client_483,2024-04-03 02:50:54,8903970.27,CDS
UTI00000007ZIOYKL1CQ99CHJ755NF4,HSBC,Client_456,2024-03-30 15:44:46,1079289.42,CommoditySwap
UTI0000000864DPJA1WJ0TPAC56T4UF,BNPParibas,Client_499,2024-11-11 15:25:24,6210408.49,CDS
UTI00000009L7253J2D54I3QK2IAGL5,UBS,Client_20,2024-07-25 04:39:06,1092941.45,EquitySwap
UTI00000010PS3Y70HP87WXE6SYLZTG,BNPParibas,Client_336,2025-04-16 04:59:28,3229269.81,EquitySwap
UTI00000011XWD8IL3FB9W1Q5UZNOFY,Citigroup,Client_234,2024-04-04 06:17:17,1342057.66,EquitySwap
UTI000000123T60RJIW1SWJCKJLTEIY,CreditSuisse,Client_195,2025-03-23 03:38:45,4775027.53,FXForward
UTI00000013HHPBMYOFQEWAOUAXEQBN,GoldmanSachs,Client_115,2024-09-28 19:44:01,6504939.49,Repo
UTI$pecial%Chars!,BankofAmerica,Client_36,2024-10-14 19:56:30,5064548.29,FXForward
UTI0000001508J3TRP0J43D5IQVNB4G,BankofAmerica,,2025-01-14 11:45:04,7584064.89,Bond
UTI00000016NTM9TMQLIZL08YG0JV1V,GoldmanSachs,Client_327,2024-04-08 02:01:13,8685927.36,EquitySwap
UTI00000017R3OCWBFUK9E1V2ISQP49,BankofAmerica,Client_81,2024-02-28 07:18:38,36730.47,EquitySwap
UTI0000001872WX7PTX63CFL0UKEYZ7,HSBC,Client_301,2025-03-22 18:29:18,9508354.92,Repo
UTI000000199P38QOLDFORXO1BDJE15,BankofAmerica,Client_282,2024-07-26 10:17:20,1318822.16,FXForward
UTI00000020TD96QE3RZSJ49ITN7S55,UBS,Client_444,2025-01-15 07:33:27,1494468.23,CommoditySwap
UTI00000021UI1B0Z3NX39RBSV55PSQ,BankofAmerica,Client_195,2025-02-18 11:26:27,9541854.53,Bond
UTI000000220PDW5PY6B2KNFTU2GC5W,HSBC,Client_38,2024-05-02 16:52:44,4422880.54,FXForward
UTI00000023RIUU9K9XJUY0BVR6K2VM,HSBC,Client_18,2024-12-08 09:32:23,5799942.32,Bond
UTI00000024SJF678K52QC1IYYO4UDO,BNPParibas,Client_453,2025-04-26 05:11:26,9432259.67,FXForward
UTI00000025BB9EITNN8ZTV05X4W7KY,BNPParibas,Client_486,2024-04-04 21:13:19,8481851.55,EquitySwap
UTI00000026UC1HH5LF6A4FEJGXAA2I,Citigroup,Client_114,2025-01-26 08:14:02,9454702.27,IRS
UTI00000027DZP6LFEWVZNVKSP2EX5T,JPMorgan,Client_352,2024-04-28 13:23:44,9230620.51,IRS
UTI00000028ULEMX15Z8VMUHXID4N1U,,Client_140,2024-05-20 03:11:57,7029960.74,FXForward
UTI00000029B0HPMNZ1UDBFWYJXRPJ1,HSBC,,2024-08-22 02:51:50,2120227.45,CDS
UTI00000030S43C5BA75UUZPEAL2W37,UBS,Client_325,2025-01-31 12:05:53,1149126.13,CommoditySwap
UTI00000031GF1C8WQUUY5X9L8LPQW2,GoldmanSachs,Client_260,2025-04-06 10:27:01,3850979.94,CommoditySwap
UTI00000032CD6MZSGIPPSFNKOMV2XC,DeutscheBank,Client_159,2024-09-28 17:07:55,9677288.11,Bond
UTI00000033Y30YSXPNNGH8RIEC4D14,BNPParibas,Client_370,2024-05-08 13:52:25,4382357.32,EquitySwap
UTI00000034826GYUP12SPFHV5BRN7Z,UBS,Client_477,2024-09-28 12:44:17,276435.21,IRS
UTI00000035X2EK3ZEZQACJ4T0SEKKB,DeutscheBank,Client_1,2024-11-29 09:35:34,6151947.73,CDS
UTI000000369TOQW9JA2M0W10LBT3G2,Citigroup,Client_162,2024-02-02 13:11:00,9334376.09,CommoditySwap
UTI00000037XJ2POP8MGYN2JCPP9GKD,JPMorgan,Client_141,2024-12-03 19:52:43,6398298.41,Repo
UTI000000384YPEIXN8BFQNPCENLK8A,BankofAmerica,Client_63,2024-06-04 11:35:41,1365926.89,IRS
UTI00000039TKKFZZGNI92IRMUQ9E5C,MorganStanley,Client_177,2025-02-05 20:17:22,1292062.76,Repo
UTI00000040FFLZM764JWTEKTSG7FXZ,Citigroup,Client_317,2024-11-19 13:44:25,6393522.01,EquitySwap
UTI00000041CCPRHVLZ049ENULQJIDK,JPMorgan,Client_240,2025-02-03 19:09:59,4992609.49,FXForward
UTI00000042R5XQT4P501NOUHTCS1K9,BankofAmerica,Client_21,2025-01-23 10:07:40,462580.49,CDS
UTI00000043OW4VSSRURALDOL65WVJX,GoldmanSachs,Client_17,2024-07-07 02:52:16,5729977.01,Bond
UTI00000044Q40ZSU9RN8QTTY5Y2JR8,CreditSuisse,Client_148,2024-07-31 09:37:04,1227522.32,Bond
UTI00000045MPJRHT7ZEWVIYTWBOZD1,BNPParibas,Client_31,2025-05-16 16:24:35,9080290.22,IRS
UTI00000046G79OR7875AUD9K9TR74Q,Citigroup,Client_313,2024-05-16 07:27:44,8562903.58,EquitySwap
UTI00000047ANQJLUUJMIYQFY751YW7,MorganStanley,Client_423,2025-05-30 19:37:03,2191932.11,CDS
UTI00000048CTSUFLSEHUDS3QSQCQ30,CreditSuisse,Client_17,2025-01-01 16:02:42,2878036.16,CDS
UTI0000004985E4E9OE9419QZPNIQFG,GoldmanSachs,Client_307,2024-12-12 18:15:52,6723516.13,Repo
UTI00000050K30LVYLKFXHKC856WPR9,GoldmanSachs,Client_440,2024-08-21 14:07:59,7078692.21,Repo
UTI00000051X74D0GJYV5G10UR5L8A7,UBS,Client_239,2024-10-22 16:02:57,5341164.77,FXForward
UTI000000526NOUHFJ7UPFLN4RXYJ38,GoldmanSachs,Client_269,2024-02-15 14:50:41,347899.33,Repo
UTI00000033Y30YSXPNNGH8RIEC4D14,GoldmanSachs,Client_370,2024-05-08 13:52:25,4382357.32,EquitySwap
